source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,bul,bul_Cyrl,Индивидуализъм,Individuality,0.8461538461538461,0.8860049247741699,high,0,0
collectivism,bul,bul_Cyrl,колективизъм,collectivism,1.0,0.8865149021148682,high,0,0
hierarchy,bul,bul_Cyrl,йерархия,the hierarchy,0.8181818181818182,0.8701710104942322,high,0,0
equality,bul,bul_Cyrl,Равенство,Equality,1.0,0.8742984533309937,high,0,0
authority,bul,bul_Cyrl,авторитета,authority,1.0,0.6637815237045288,medium,0,0
autonomy,bul,bul_Cyrl,автономия,the autonomy,0.8,0.8568969368934631,high,0,0
obedience,bul,bul_Cyrl,послушание,Obedience,1.0,0.8580001592636108,high,0,0
duty,bul,bul_Cyrl,задължения,liabilities,0.13333333333333333,0.8303653597831726,high,1,0
freedom,bul,bul_Cyrl,свобода,Freedom of movement,0.5384615384615384,0.8449932336807251,high,1,0
honor,bul,bul_Cyrl,честта,The honour,0.6666666666666666,0.8654229044914246,high,0,0
shame,bul,bul_Cyrl,срам,Shame on you.,0.5555555555555556,0.8408458232879639,high,0,0
virtue,bul,bul_Cyrl,добродетел,Virtue,1.0,0.842806339263916,high,0,0
vice,bul,bul_Cyrl,Вице-престъпник,Co-defendant,0.25,0.5467182397842407,low,1,0
respect,bul,bul_Cyrl,Уважаване,Respect,1.0,0.8664915561676025,high,0,0
modesty,bul,bul_Cyrl,скромност,Modesty,1.0,0.8428570032119751,high,0,0
purity,bul,bul_Cyrl,чистота,cleanliness,0.11764705882352941,0.8633776903152466,high,1,0
pollution,bul,bul_Cyrl,замърсяване,Pollution,1.0,0.8735693693161011,high,0,0
face,bul,bul_Cyrl,лице,the face,0.6666666666666666,0.8211116194725037,high,0,0
reputation,bul,bul_Cyrl,репутация,Reputation,1.0,0.8556934595108032,high,0,0
hospitality,bul,bul_Cyrl,гостоприемство,Hospitality,1.0,0.8666248321533203,high,0,0
charity,bul,bul_Cyrl,благотворителност,charity,1.0,0.8640283346176147,high,0,0
cooperation,bul,bul_Cyrl,сътрудничество,Cooperation,1.0,0.8467652797698975,high,0,0
competition,bul,bul_Cyrl,Конкуренция,Competition,1.0,0.8707523345947266,high,0,0
fairness,bul,bul_Cyrl,справедливост,Justice,0.26666666666666666,0.8359396457672119,high,1,0
justice,bul,bul_Cyrl,правосъдие,Justice,1.0,0.8643003106117249,high,0,0
taboo,bul,bul_Cyrl,табу,It's taboo.,0.625,0.817353367805481,high,0,0
tradition,bul,bul_Cyrl,традиция,Tradition,1.0,0.8567838668823242,high,0,0
modernity,bul,bul_Cyrl,модерност,modernity,1.0,0.8726965188980103,high,0,0
sacred,bul,bul_Cyrl,свещено,Sacred,1.0,0.786630392074585,medium,0,0
secular,bul,bul_Cyrl,световни,Worldwide,0.125,0.43247273564338684,low,1,0
conformity,bul,bul_Cyrl,Съответствие,Conformity,1.0,0.84978187084198,high,0,0
dissent,bul,bul_Cyrl,несъгласие,disagreement,0.631578947368421,0.8433687686920166,high,0,0
restraint,bul,bul_Cyrl,задържане,Detention,0.4444444444444444,0.8451388478279114,high,1,0
indulgence,bul,bul_Cyrl,отпускане,Release,0.35294117647058826,0.8235365152359009,high,1,0
solidarity,bul,bul_Cyrl,Солидарност,Solidarity,1.0,0.8865540027618408,high,0,0
merit,bul,bul_Cyrl,заслуги,Benefits,0.46153846153846156,0.8326095342636108,high,1,0
trust,bul,bul_Cyrl,доверие,Confidence,0.0,0.861382246017456,high,1,0
loyalty,bul,bul_Cyrl,лоялност,Loyalty,1.0,0.8752714991569519,high,0,0
integrity,bul,bul_Cyrl,непрекъснатост,continuity,0.5263157894736842,0.6604912877082825,medium,1,0
discretion,bul,bul_Cyrl,свободно преценка,free judgment,0.2608695652173913,0.5709688663482666,low,1,0
humility,bul,bul_Cyrl,смирение,Humility,1.0,0.8609503507614136,high,0,0
discipline,bul,bul_Cyrl,дисциплина,Discipline,1.0,0.8437976837158203,high,0,0
self control,bul,bul_Cyrl,самоконтрол,self-control,0.9166666666666666,0.7977439165115356,medium,0,0
deference,bul,bul_Cyrl,почитане,Worship,0.125,0.8079140782356262,high,1,0
civic individualism,bul,bul_Cyrl,Граждански индивидуализъм,Citizen individualism,0.85,0.8876001834869385,high,0,0
civic collectivism,bul,bul_Cyrl,Граждански колективизъм,Civil collectivism,0.9444444444444444,0.8680389523506165,high,0,0
civic hierarchy,bul,bul_Cyrl,гражданска йерархия,civil hierarchy,0.9333333333333333,0.8854835033416748,high,0,0
civic equality,bul,bul_Cyrl,гражданско равенство,civil equality,0.9285714285714286,0.8852465152740479,high,0,0
civic authority,bul,bul_Cyrl,гражданска власт,civil authority,0.9333333333333333,0.8805705308914185,high,0,0
civic autonomy,bul,bul_Cyrl,гражданска автономия,civil autonomy,0.9285714285714286,0.8837622404098511,high,0,0
civic obedience,bul,bul_Cyrl,Гражданско послушание,Citizen's obedience,0.7647058823529411,0.8666845560073853,high,0,0
civic duty,bul,bul_Cyrl,граждански дълг,civil liability,0.56,0.8835358023643494,high,0,0
civic freedom,bul,bul_Cyrl,Гражданска свобода,Freedom of the press,0.42424242424242425,0.8843532204627991,high,1,0
civic honor,bul,bul_Cyrl,Гражданска чест,It's a civil honour.,0.6451612903225806,0.8659607768058777,high,0,0
civic shame,bul,bul_Cyrl,Граждански срам,Civil disgrace,0.48,0.870255172252655,high,1,0
civic virtue,bul,bul_Cyrl,Гражданска добродетел,Civil virtue,0.9166666666666666,0.877200186252594,high,0,0
civic vice,bul,bul_Cyrl,Граждански пороци,Civil misconduct,0.46153846153846156,0.8578823804855347,high,1,0
civic respect,bul,bul_Cyrl,Гражданско уважение,Respect for citizenship,0.3888888888888889,0.872207760810852,high,1,0
civic modesty,bul,bul_Cyrl,Гражданска скромност,Civil modesty,0.9230769230769231,0.8681677579879761,high,0,0
civic purity,bul,bul_Cyrl,Гражданска чистота,Civil cleansing,0.4444444444444444,0.8568251132965088,high,1,0
civic pollution,bul,bul_Cyrl,гражданско замърсяване,civil pollution,0.9333333333333333,0.8585101962089539,high,0,0
civic face,bul,bul_Cyrl,гражданско лице,a person who is a citizen,0.22857142857142856,0.8366599082946777,high,1,0
civic reputation,bul,bul_Cyrl,Гражданска репутация,Citizen's reputation,0.7777777777777778,0.8750317096710205,high,0,0
civic hospitality,bul,bul_Cyrl,Гражданско гостоприемство,Civil hospitality,0.9411764705882353,0.8748230934143066,high,0,0
civic charity,bul,bul_Cyrl,гражданска благотворителност,civil charity,0.9230769230769231,0.8721082210540771,high,0,0
civic cooperation,bul,bul_Cyrl,гражданско сътрудничество,civil cooperation,0.9411764705882353,0.8858711123466492,high,0,0
civic competition,bul,bul_Cyrl,Гражданска конкуренция,Civil competition,0.9411764705882353,0.8637701869010925,high,0,0
civic fairness,bul,bul_Cyrl,Гражданска справедливост,Civil justice,0.4444444444444444,0.8802729249000549,high,1,0
civic justice,bul,bul_Cyrl,гражданско правосъдие,civil justice,0.9230769230769231,0.8826107978820801,high,0,0
civic taboo,bul,bul_Cyrl,Граждански табу,It's a civil taboo.,0.6666666666666666,0.8582751750946045,high,0,0
